event_ID,utilized_cores,num_cores,core_utilization,event_t_arrival,event_t_finish,event_t_finish_minus_event_t_arrival,(event.t_finish-event.t_arrival)/T,event_dnn
0,55296,55296,1.0,0,193050601,136915319.85815603,0.00193050601,GPT2
1,55296,55296,1.0,587272585760.972,587272598104.972,8754.609929078015,1.2344e-07,AlexNet
2,55296,55296,1.0,587284023896.8363,587303024240.8363,13475421.276595745,0.00019000344,VGG19
3,55296,55296,1.0,1282195445258.1392,1282195457602.1392,8754.609929078015,1.2344e-07,AlexNet
4,17510,55296,0.31665943287037035,1291883832423.5125,1294979865851.5125,2195768388.6524825,0.03096033428,BERT
5,24252,55296,0.4385850694444444,1340971548356.519,1344067581784.519,2195768388.6524825,0.03096033428,BERT
6,18693,55296,0.3380533854166667,1391516802527.594,1391532802871.594,11347761.70212766,0.00016000344,VGG16
7,22856,55296,0.41333912037037035,1578799168216.9736,1578992218817.9736,136915319.85815603,0.00193050601,GPT2
8,28415,55296,0.5138708043981481,1694387139187.9158,1694406139531.9158,13475421.276595745,0.00019000344,VGG19
9,24252,55296,0.4385850694444444,1752987485643.1682,1756083519071.1682,2195768388.6524825,0.03096033428,BERT
10,17003,55296,0.3074905960648148,1755764448120.0105,1755780448464.0105,11347761.70212766,0.00016000344,VGG16
11,7554,55296,0.13661024305555555,2001061098673.405,2001110227780.405,34843338.29787234,0.00049129107,DLRM
12,55296,55296,1.0,2082861830063.7087,2082910959170.7087,34843338.29787234,0.00049129107,DLRM
13,55296,55296,1.0,2362759682142.035,2385760732743.035,16312801844.680853,0.23001050601,ChatGPT
14,26410,55296,0.47761140046296297,2524076452426.0703,2524094452770.0703,12766201.418439718,0.00018000344,ResNet18
15,26410,55296,0.47761140046296297,2686408588701.5483,2686601639302.5483,136915319.85815603,0.00193050601,GPT2
16,46428,55296,0.8396267361111112,2804278938545.861,2804296938889.861,12766201.418439718,0.00018000344,ResNet18
17,26410,55296,0.47761140046296297,3004541991191.4775,3004559991535.4775,12766201.418439718,0.00018000344,ResNet18
18,18693,55296,0.3380533854166667,3013429944522.568,3013622995123.568,136915319.85815603,0.00193050601,GPT2
19,55296,55296,1.0,3045319698936.267,3045335699280.267,11347761.70212766,0.00016000344,VGG16
20,55296,55296,1.0,3255809996722.32,3278811047323.32,16312801844.680853,0.23001050601,ChatGPT
21,55296,55296,1.0,3345720305234.0493,3368721355835.0493,16312801844.680853,0.23001050601,ChatGPT
22,55296,55296,1.0,3662466193154.07,3662484193498.07,12766201.418439718,0.00018000344,ResNet18
23,55296,55296,1.0,3684474878181.017,3684474890525.017,8754.609929078015,1.2344e-07,AlexNet
24,55296,55296,1.0,3722383825197.986,3725479858625.986,2195768388.6524825,0.03096033428,BERT
25,55296,55296,1.0,3875314641142.845,3875314653486.845,8754.609929078015,1.2344e-07,AlexNet
26,55296,55296,1.0,3877160398660.402,3877178399004.402,12766201.418439718,0.00018000344,ResNet18
27,55296,55296,1.0,3974984987664.612,3974985000008.612,8754.609929078015,1.2344e-07,AlexNet
28,7554,55296,0.13661024305555555,4112883364292.192,4112932493399.192,34843338.29787234,0.00049129107,DLRM
29,55296,55296,1.0,4171966705540.4365,4172015834647.4365,34843338.29787234,0.00049129107,DLRM
30,55296,55296,1.0,4182861846235.5063,4182861858579.5063,8754.609929078015,1.2344e-07,AlexNet
31,23437,55296,0.42384620949074076,4246206102334.8574,4246225102678.8574,13475421.276595745,0.00019000344,VGG19
32,23437,55296,0.42384620949074076,4280965468208.3105,4281014597315.3105,34843338.29787234,0.00049129107,DLRM
33,39320,55296,0.7110821759259259,4293690920749.844,4293709921093.844,13475421.276595745,0.00019000344,VGG19
34,55296,55296,1.0,4295646616200.236,4295665616544.236,13475421.276595745,0.00019000344,VGG19
35,55296,55296,1.0,4544371155888.527,4544371168232.527,8754.609929078015,1.2344e-07,AlexNet
36,7554,55296,0.13661024305555555,4575234036962.491,4575283166069.491,34843338.29787234,0.00049129107,DLRM
37,23437,55296,0.42384620949074076,4663034621248.188,4663083750355.188,34843338.29787234,0.00049129107,DLRM
38,55296,55296,1.0,4748393825253.886,4748412825597.886,13475421.276595745,0.00019000344,VGG19
39,55296,55296,1.0,5061975262313.405,5084976312914.405,16312801844.680853,0.23001050601,ChatGPT
40,55296,55296,1.0,5182292028507.723,5182292040851.723,8754.609929078015,1.2344e-07,AlexNet
41,42874,55296,0.7753544560185185,5258530713315.828,5258548713659.828,12766201.418439718,0.00018000344,ResNet18
42,22856,55296,0.41333912037037035,5377078587097.301,5377097587441.301,13475421.276595745,0.00019000344,VGG19
43,11951,55296,0.2161277488425926,5454862096728.379,5455055147329.379,136915319.85815603,0.00193050601,GPT2
44,24252,55296,0.4385850694444444,5531626845584.6045,5534722879012.6045,2195768388.6524825,0.03096033428,BERT
45,18693,55296,0.3380533854166667,5546705195006.794,5546721195350.794,11347761.70212766,0.00016000344,VGG16
46,6392,55296,0.11559606481481481,5836013298257.102,5836206348858.102,136915319.85815603,0.00193050601,GPT2
47,11951,55296,0.2161277488425926,6050678734513.481,6050871785114.481,136915319.85815603,0.00193050601,GPT2
48,55296,55296,1.0,6065467814711.541,6068563848139.541,2195768388.6524825,0.03096033428,BERT
49,55296,55296,1.0,6288156106510.439,6311157157111.439,16312801844.680853,0.23001050601,ChatGPT
50,26991,55296,0.4881184895833333,6338852222717.304,6338901351824.304,34843338.29787234,0.00049129107,DLRM
51,38711,55296,0.7000687210648148,6444493425191.369,6444511425535.369,12766201.418439718,0.00018000344,ResNet18
52,30994,55296,0.5605107060185185,6487228592261.426,6487244592605.426,11347761.70212766,0.00016000344,VGG16
53,38711,55296,0.7000687210648148,6588794539026.442,6588810539370.442,11347761.70212766,0.00016000344,VGG16
54,55296,55296,1.0,6803614632673.882,6803632633017.882,12766201.418439718,0.00018000344,ResNet18
55,55296,55296,1.0,6907955875096.447,6907955887440.447,8754.609929078015,1.2344e-07,AlexNet
56,31969,55296,0.5781430844907407,6950864824321.316,6953960857749.316,2195768388.6524825,0.03096033428,BERT
57,46428,55296,0.8396267361111112,6994953079483.284,6994971079827.284,12766201.418439718,0.00018000344,ResNet18
58,42874,55296,0.7753544560185185,7050830651799.627,7050848652143.627,12766201.418439718,0.00018000344,ResNet18
59,28415,55296,0.5138708043981481,7052004433106.203,7052023433450.203,13475421.276595745,0.00019000344,VGG19
60,24252,55296,0.4385850694444444,7149210076524.983,7152306109952.983,2195768388.6524825,0.03096033428,BERT
61,55296,55296,1.0,7303833608507.543,7303849608851.543,11347761.70212766,0.00016000344,VGG16
62,55296,55296,1.0,7363601334128.169,7363601346472.169,8754.609929078015,1.2344e-07,AlexNet
63,55296,55296,1.0,7648051832544.053,7671052883145.053,16312801844.680853,0.23001050601,ChatGPT
64,55296,55296,1.0,7675105093450.133,7675154222557.133,34843338.29787234,0.00049129107,DLRM
65,55296,55296,1.0,7822768583596.054,7845769634197.054,16312801844.680853,0.23001050601,ChatGPT
66,55296,55296,1.0,7823056029028.0,7841884634197.054,13353620687.272137,0.1882860516905371,ResNet18
67,55296,55296,1.0,7839653202391.482,7865077634197.054,18031511918.844887,0.2542443180557129,ChatGPT
