event_ID,utilized_cores,num_cores,core_utilization,event_t_arrival,event_t_finish,event_t_finish_minus_event_t_arrival,(event.t_finish-event.t_arrival)/T,event_dnn
0,55296,55296,1.0,0,194599257,138013657.44680852,0.00194599257,GPT2
1,55296,55296,1.0,587272585760.972,587274146760.972,1107092.1985815603,1.561e-05,AlexNet
2,55296,55296,1.0,587284023896.8363,587304572896.8363,14573758.865248227,0.00020549,VGG19
3,55296,55296,1.0,1282195445258.1392,1282197006258.1392,1107092.1985815603,1.561e-05,AlexNet
4,17510,55296,0.31665943287037035,1291883832423.5125,1294981414507.5125,2196866726.2411346,0.03097582084,BERT
5,24252,55296,0.4385850694444444,1340971548356.519,1344069130440.519,2196866726.2411346,0.03097582084,BERT
6,18693,55296,0.3380533854166667,1391516802527.594,1391534351527.594,12446099.290780142,0.00017549,VGG16
7,22856,55296,0.41333912037037035,1578799168216.9736,1578993767473.9736,138013657.44680852,0.00194599257,GPT2
8,28415,55296,0.5138708043981481,1694387139187.9158,1694407688187.9158,14573758.865248227,0.00020549,VGG19
9,24252,55296,0.4385850694444444,1752987485643.1682,1756085067727.1682,2196866726.2411346,0.03097582084,BERT
10,17004,55296,0.3075086805555556,1755764448120.0105,1755781997120.0105,12446099.290780142,0.00017549,VGG16
11,7554,55296,0.13661024305555555,2001061098673.405,2001111776436.405,35941675.88652483,0.00050677763,DLRM
12,55296,55296,1.0,2082861830063.7087,2082912507826.7087,35941675.88652483,0.00050677763,DLRM
13,55296,55296,1.0,2362759682142.035,2385762281399.035,16313900182.269505,0.23002599257,ChatGPT
14,26410,55296,0.47761140046296297,2524076452426.0703,2524096001426.0703,13864539.0070922,0.00019549,ResNet18
15,26410,55296,0.47761140046296297,2686408588701.5483,2686603187958.5483,138013657.44680852,0.00194599257,GPT2
16,46428,55296,0.8396267361111112,2804278938545.861,2804298487545.861,13864539.0070922,0.00019549,ResNet18
17,26410,55296,0.47761140046296297,3004541991191.4775,3004561540191.4775,13864539.0070922,0.00019549,ResNet18
18,18693,55296,0.3380533854166667,3013429944522.568,3013624543779.568,138013657.44680852,0.00194599257,GPT2
19,55296,55296,1.0,3045319698936.267,3045337247936.267,12446099.290780142,0.00017549,VGG16
