Timestring,Error_std,Error_mean
2022-04-13_123009,0.007194764627692585,-0.0012134398703321169
2022-04-13_123501,0.0075703192664102175,0.008203870781393414
2022-04-13_123739,0.009128860881834181,-0.007002663470869967
2022-04-13_124018,0.0065391404826217045,0.0002782756857329909
2022-04-13_124300,0.006871517252968809,-0.00027296589497781366
2022-04-13_124542,0.00730997424117792,0.0005903279477568897
2022-04-13_124822,0.008091650531682038,-0.001867399230035025
2022-04-13_125059,0.008866118894355814,0.001060004671508262
2022-04-13_125338,0.00796062024899876,0.0013886085723809722
2022-04-13_125619,0.008861100449563331,0.001614306820889697
2022-04-13_125900,0.00914996136635637,-0.0015965846152840785
2022-04-13_130140,0.008605308283914117,0.001470235975173966
2022-04-13_130419,0.00793906590549689,0.0018576801840141247
2022-04-13_130655,0.011311899470303085,-0.009418661475993892
2022-04-13_130936,0.008327970354365097,-0.0011296728848970087
2022-04-13_131232,0.010077901063365128,-0.0066395292676765215
2022-04-13_131509,0.007976138828386563,-0.0003972448219926697
2022-04-13_131749,0.01124316478017861,-0.011998210285101278
2022-04-13_132027,0.010837412956724517,0.00827291251703514
2022-04-13_132305,0.00903059121886136,0.002380393138847981
2022-04-13_132546,0.01141649121823232,-0.005196251540671253
2022-04-13_132830,0.011271397049868159,0.011885318242713263
2022-04-13_133112,0.01225089825739268,-0.010074322483824236
2022-04-13_133355,0.017485693549029284,0.02370012683462864
2022-04-13_133631,0.01775967786995597,-0.026563621186646305
2022-04-13_133910,0.009240311653330167,0.00551412747673726
2022-04-13_134155,0.00960575476793594,0.0040297774188628906
2022-04-13_134437,0.005994534908730135,-0.0001819250417464779
2022-04-13_134713,0.008678849875882022,0.006828222870385649
2022-04-13_134954,0.008714698185395883,-0.004610735494964159
2022-04-13_135234,0.0069913492647872225,0.00224229720612194
2022-04-13_135522,0.009002885848718268,0.008736658530005697
2022-04-13_135800,0.010822520651926945,0.013384470355544478
2022-04-13_140037,0.007174154849912336,0.0012976870476805289
2022-04-13_140319,0.0099760057203888,0.009476385220259934
2022-04-13_140556,0.008895073904258153,-0.011359498757513468
2022-04-13_140839,0.012482868175648174,-0.015699590650026435
2022-04-13_141118,0.008218884054500544,-0.008313388406391849
2022-04-13_141407,0.010638076454414893,0.00809275691590281
2022-04-13_141645,0.00918217969969748,-0.008646067101338556
2022-04-13_141927,0.00922882467374248,0.009190337885100656
2022-04-13_142205,0.009183392054551681,0.0008011847911153411
2022-04-13_142503,0.006873555792705982,0.0006530345550321611
2022-04-13_142743,0.009876782261773414,0.0009286754588740847
2022-04-13_143024,0.008563381173207953,-0.0012910328459761495
2022-04-13_143304,0.00994674398264446,-0.004750031604289256
2022-04-13_143541,0.008356948312699853,0.0005233537064941701
2022-04-13_143824,0.00942503702980852,0.004389425821271626
2022-04-13_144118,0.007137937962449563,-0.0010943522299798427
2022-04-13_144359,0.014425330818436864,0.019947005203920322
2022-04-13_150202,0.010319591496528552,0.001865276152531454
2022-04-13_155358,0.009973168143206684,0.005894425984984945
2022-04-13_155636,0.011890827881307964,0.01193531697286906
2022-04-13_155917,0.009032212333148487,0.006222491378521158
2022-04-13_160157,0.007178751701260023,-0.00503501998962369
2022-04-13_160438,0.008530955387725662,0.007580192152165358
2022-04-13_160716,0.01157243584078593,0.014174537263100164
2022-04-13_160958,0.011390886962541416,0.014456633198034714
2022-04-13_161242,0.0084077682363531,-0.0037208185827203658
2022-04-13_161520,0.011995548483750274,0.015300558679464098
2022-04-13_161758,0.007868393394423799,-0.0012108991134372356
2022-04-13_162035,0.009608553419673878,0.007684439565721708
2022-04-13_162313,0.007747568974358157,-0.0027200785088655715
2022-04-13_162552,0.00848754924578036,0.0024246755500961763
2022-04-13_162840,0.00998893459894516,-0.001030515648365701
2022-04-13_163119,0.014677264604882556,0.018813179036835923
2022-04-13_163404,0.016189226450118787,0.02373269314401693
2022-04-13_163644,0.011990836208492325,0.004689493240150223
2022-04-13_163946,0.00905421336341422,0.0003908419675283249
2022-04-13_164241,0.010140253413911279,0.006659214110232877
2022-04-13_164520,0.01715445343716128,0.02501013882106997
2022-04-13_164756,0.010180503803160912,-0.010456310846278231
2022-04-13_165038,0.012996902792066037,0.007975585192419223
2022-04-13_165315,0.013089540431841792,0.0172557870723595
2022-04-13_165554,0.010404452978512758,-0.008363537438581462
2022-04-13_165833,0.011254854698764147,0.007150933103427197
2022-04-13_170130,0.009419645445755654,0.009331352809228803
2022-04-13_170412,0.010246819772852434,0.0064927796915067145
2022-04-13_170651,0.016282988219104184,0.023993386066774612
2022-04-13_170927,0.007694605895966355,-0.007328213217566389
2022-04-13_171206,0.010404800761079995,-0.009875793481246323
2022-04-13_171449,0.011358699384477729,-0.017412056146427754
2022-04-13_171731,0.012997541037862635,0.017149835390789542
2022-04-13_172035,0.007531241090526204,-0.009825160412915437
2022-04-13_172312,0.010336924697367333,0.009326162755211054
2022-04-13_172549,0.008821435480110218,0.007642982078005324
2022-04-13_172827,0.010966753593941232,0.0018815099795526195
2022-04-13_173104,0.013684751763493494,0.014262079607532067
2022-04-13_173349,0.016797337124510724,0.020006997322000817
2022-04-13_173632,0.007078574391086426,0.000645249760131066
2022-04-13_173909,0.009377430009348505,-0.006472928914922311
2022-04-13_174146,0.00932371131308672,0.006082604068117366
2022-04-13_174431,0.013745647507983363,0.020001250305185125
2022-04-13_174707,0.02457595127765393,0.04173388221568314
2022-04-13_174944,0.008346126330167517,-0.001407182156812527
2022-04-13_175225,0.009502352915620777,-0.005710853095137589
