event_ID,utilized_cores,num_cores,core_utilization,event_t_arrival,event_t_finish,event_t_finish_minus_event_t_arrival,(event.t_finish-event.t_arrival)/T,event_dnn
0,20480,20480,1.0,0,194599257,174685149.91023338,0.00194599257,GPT2
1,20480,20480,1.0,587272585760.972,587274157760.972,1411131.0592459603,1.572e-05,AlexNet
2,20480,20480,1.0,587284023896.8363,587304572896.8363,18446140.035906643,0.00020549,VGG19
3,20480,20480,1.0,1282195445258.1392,1282197017258.1392,1411131.0592459603,1.572e-05,AlexNet
4,17510,20480,0.85498046875,1291883832423.5125,1294981414507.5125,2780594330.341113,0.03097582084,BERT
5,20480,20480,1.0,1340971548356.519,1344069130440.519,2780594330.341113,0.03097582084,BERT
6,18693,20480,0.912744140625,1391516802527.594,1391534351527.594,15753141.831238778,0.00017549,VGG16
7,20480,20480,1.0,1578799168216.9736,1578993767473.9736,174685149.91023338,0.00194599257,GPT2
8,20480,20480,1.0,1694387139187.9158,1694407688187.9158,18446140.035906643,0.00020549,VGG19
9,20480,20480,1.0,1752987485643.1682,1756085067727.1682,2780594330.341113,0.03097582084,BERT
10,17004,20480,0.8302734375,1755764448120.0105,1755781997120.0105,15753141.831238778,0.00017549,VGG16
11,7554,20480,0.36884765625,2001061098673.405,2001111776436.405,45491708.25852782,0.00050677763,DLRM
12,20480,20480,1.0,2082861830063.7087,2082912507826.7087,45491708.25852782,0.00050677763,DLRM
13,20480,20480,1.0,2362759682142.035,2385762281399.035,20648652833.931774,0.23002599257,ChatGPT
14,20480,20480,1.0,2524076452426.0703,2524096001426.0703,17548473.96768402,0.00019549,ResNet18
15,20480,20480,1.0,2686408588701.5483,2686603187958.5483,174685149.91023338,0.00194599257,GPT2
16,20480,20480,1.0,2804278938545.861,2804298487545.861,17548473.96768402,0.00019549,ResNet18
17,20480,20480,1.0,3004541991191.4775,3004561540191.4775,17548473.96768402,0.00019549,ResNet18
18,18693,20480,0.912744140625,3013429944522.568,3013624543779.568,174685149.91023338,0.00194599257,GPT2
19,20480,20480,1.0,3045319698936.267,3045337247936.267,15753141.831238778,0.00017549,VGG16
20,20480,20480,1.0,3255809996722.32,3278812595979.32,20648652833.931774,0.23002599257,ChatGPT
21,20480,20480,1.0,3345720305234.0493,3368722904491.0493,20648652833.931774,0.23002599257,ChatGPT
22,20480,20480,1.0,3662466193154.07,3662485742154.07,17548473.96768402,0.00019549,ResNet18
23,20480,20480,1.0,3684474878181.017,3684476450181.017,1411131.0592459603,1.572e-05,AlexNet
24,20480,20480,1.0,3722383825197.986,3725481407281.986,2780594330.341113,0.03097582084,BERT
25,20480,20480,1.0,3875314641142.845,3875316213142.845,1411131.0592459603,1.572e-05,AlexNet
26,20480,20480,1.0,3877160398660.402,3877179947660.402,17548473.96768402,0.00019549,ResNet18
27,20480,20480,1.0,3974984987664.612,3974986559664.612,1411131.0592459603,1.572e-05,AlexNet
28,7554,20480,0.36884765625,4112883364292.192,4112934042055.192,45491708.25852782,0.00050677763,DLRM
29,20480,20480,1.0,4171966705540.4365,4172017383303.4365,45491708.25852782,0.00050677763,DLRM
30,20480,20480,1.0,4182861846235.5063,4182863418235.5063,1411131.0592459603,1.572e-05,AlexNet
31,20480,20480,1.0,4246206102334.8574,4246226651334.8574,18446140.035906643,0.00020549,VGG19
