event_ID,utilized_cores,num_cores,core_utilization,event_t_arrival,event_t_finish,event_t_finish_minus_event_t_arrival,(event.t_finish-event.t_arrival)/T,event_dnn
54,96000,96000,1.0,6803614632673.882,6803632633017.882,30000573.333333336,0.00018000344,ResNet18
55,96000,96000,1.0,6907955875096.447,6907955884440.447,15573.333333333334,9.344e-08,AlexNet
56,31969,96000,0.33301041666666664,6950864824321.316,6953960857749.316,5160055713.333334,0.03096033428,BERT
57,46428,96000,0.483625,6994953079483.284,6994971079827.284,30000573.333333336,0.00018000344,ResNet18
58,42874,96000,0.4466041666666667,7050830651799.627,7050848652143.627,30000573.333333336,0.00018000344,ResNet18
59,28415,96000,0.2959895833333333,7052004433106.203,7052023433450.203,31667240.0,0.00019000344,VGG19
60,24252,96000,0.252625,7149210076524.983,7152306109952.983,5160055713.333334,0.03096033428,BERT
61,96000,96000,1.0,7303833608507.543,7303849608851.543,26667240.0,0.00016000344,VGG16
62,96000,96000,1.0,7363601334128.169,7363601343472.169,15573.333333333334,9.344e-08,AlexNet
63,96000,96000,1.0,7648051832544.053,7671052883145.053,38335084335.0,0.23001050601,ChatGPT
64,96000,96000,1.0,7675105093450.133,7675154222557.133,81881845.0,0.00049129107,DLRM
65,96000,96000,1.0,7822768583596.054,7845769634197.054,38335084335.0,0.23001050601,ChatGPT
66,96000,96000,1.0,7823056029028.0,7836949634197.054,23156008615.08952,0.1389360516905371,ResNet18
67,96000,96000,1.0,7839653202391.482,7862654252992.482,38335084335.0,0.23001050601,ChatGPT
68,18693,96000,0.19471875,7914531475970.413,7914724526571.413,321751001.6666667,0.00193050601,GPT2
69,24252,96000,0.252625,8037989290587.863,8038005290931.863,26667240.0,0.00016000344,VGG16
70,12532,96000,0.13054166666666667,8277169344944.674,8280265378372.674,5160055713.333334,0.03096033428,BERT
71,26991,96000,0.28115625,8340166431715.439,8340215560822.439,81881845.0,0.00049129107,DLRM
72,96000,96000,1.0,8605291698089.469,8605309698433.469,30000573.333333336,0.00018000344,ResNet18
73,96000,96000,1.0,8685437333390.438,8685437342734.438,15573.333333333334,9.344e-08,AlexNet
74,26410,96000,0.27510416666666665,8704352678504.738,8704370678848.738,30000573.333333336,0.00018000344,ResNet18
75,22856,96000,0.23808333333333334,8840129133951.78,8840322184552.78,321751001.6666667,0.00193050601,GPT2
76,96000,96000,1.0,8959471386589.877,8959490386933.877,31667240.0,0.00019000344,VGG19
77,96000,96000,1.0,8985654992077.783,8985655001421.783,15573.333333333334,9.344e-08,AlexNet
78,96000,96000,1.0,9125847049150.201,9125847058494.201,15573.333333333334,9.344e-08,AlexNet
79,18693,96000,0.19471875,9130903168000.045,9130919168344.045,26667240.0,0.00016000344,VGG16
80,96000,96000,1.0,9144173023321.45,9144366073922.45,321751001.6666667,0.00193050601,GPT2
81,96000,96000,1.0,9194643013676.242,9194643023020.242,15573.333333333334,9.344e-08,AlexNet
82,26410,96000,0.27510416666666665,9197514497790.076,9197707548391.076,321751001.6666667,0.00193050601,GPT2
83,96000,96000,1.0,9208288079294.791,9208306079638.791,30000573.333333336,0.00018000344,ResNet18
84,96000,96000,1.0,9285687164127.121,9285687173471.121,15573.333333333334,9.344e-08,AlexNet
85,19274,96000,0.20077083333333334,9628856726162.943,9628905855269.943,81881845.0,0.00049129107,DLRM
86,24252,96000,0.252625,9642115431756.014,9642131432100.014,26667240.0,0.00016000344,VGG16
87,8755,96000,0.09119791666666667,9651717683686.36,9654813717114.36,5160055713.333334,0.03096033428,BERT
